Tailored Messaging Event #,"Message Timing
(days from participant start)",Big 2 Decision= ___,"Engagement 
Level List= ___",Importance/ Confidence Rating= ___,Value 1 CONTAINS: ___,Value 2 CONTAINS: ___,Value 3 CONTAINS: ___,Strength 1 CONTAINS: ___,Strength 2 CONTAINS: ___,Strength 3 CONTAINS: ___,Message___
1,16,Complete,No Recent Report,low/low,independent,,,,,,"When dealing with a chronic illness, many people have to depend more heavily on others for help –something an independent person like you wants to avoid. Participating in the DPP or taking metformin can help you prevent diabetes and avoid having to rely more on others."
1,16,Complete,No Recent Report,low/high,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Complete,No Recent Report,low/high,spouse,,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
1,16,Complete,No Recent Report,low/high,religious,,,,,,he1_7
1,16,Complete,No Recent Report,low/high,spiritual,,,,,,he1_10
1,16,Complete,No Recent Report,low/high,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
1,16,Complete,No Recent Report,low/high,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
1,16,Complete,No Recent Report,low/high,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
1,16,Complete,No Recent Report,low/high,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
1,16,Complete,No Recent Report,low/high,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
1,16,Complete,No Recent Report,low/high,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
1,16,Complete,No Recent Report,low/high,respect,,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
1,16,Complete,No Recent Report,low/high,independent,,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
1,16,Complete,No Recent Report,no recent data,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Complete,No Recent Report,no recent data,spouse,,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
1,16,Complete,No Recent Report,no recent data,religious,,,,,,he1_7
1,16,Complete,No Recent Report,no recent data,spiritual,,,,,,he1_10
1,16,Complete,No Recent Report,no recent data,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
1,16,Complete,No Recent Report,no recent data,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
1,16,Complete,No Recent Report,no recent data,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
1,16,Complete,No Recent Report,no recent data,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
1,16,Complete,No Recent Report,no recent data,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
1,16,Complete,No Recent Report,no recent data,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
1,16,Complete,No Recent Report,no recent data,respect,,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
1,16,Complete,No Recent Report,no recent data,independent,,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
1,16,Complete,No Recent Report,high/low,,,,creative,,,A common obstacle to getting into the habit of things like participating in the DPP or taking metformin is getting stuck in a rut. Your creative streak can help you find ways to keep things interesting. Think about how you can put your creative side to work in your efforts to reduce your risk for diabetes.
1,16,Complete,No Recent Report,high/low,,,,patient,,,"It takes patience and commitment to participate in the DPP or take metformin, but you're a person who knows how to play the long game. You’re willing to put in effort now to ensure a better future, and that will be a big help as you work to create new habits. "
1,16,Complete,No Recent Report,high/low,,,,forgiving,,,"Sometimes people who are really forgiving of others have a hard time forgiving themselves. Think about the advice you would give to a friend who's struggling to participate in the DPP or take metformin, and remember it's ok to cut yourself some slack."
1,16,Complete,No Recent Report,high/low,,,,thankful,,,Right now you have the ability to participate in the DPP or take metformin before your prediabetes becomes something worse! You can show your gratitude for what you have by buckling down and taking action to lower your risk.
1,16,Complete,No Recent Report,high/low,,,,humor,,,"Being at higher risk for diabetes is serious business - but seeing the funny side of your efforts can make it easier to participate in the DPP or take metformin. If you slip up, it's OK to laugh about it – you can take prediabetes seriously without losing your sense of humor!"
1,16,Complete,No Recent Report,high/low,,,,positive,,,"Some people fixate on slip-ups when they're trying build healthier habits like participating in the DPP or taking metformin, but you know it's more important to give yourself credit for all the times you've succeeded. Finding out what works for you is a process, and focusing on the small wins can help you see your progress."
1,16,Complete,No Recent Report,high/low,,,,illness,,,You've confronted an illness before. Think back on what it took to beat that illness. A lot of the same thoughts and strategies that helped you in the past could also help you lower your risk for diabetes. 
1,16,Complete,No Recent Report,high/low,,,,research,,,"You're someone who does their homework and stays informed - which can be an advantage when it comes to understanding actions like participating in the DPP or taking metformin. Think about the research you’ve done, and what it says about the steps you should take to lower your risk."
1,16,Complete,No Recent Report,high/low,,,,sports,,,"You can leverage a lot of what you get from playing sports to help with your efforts to lower your risk for diabetes. Just like practicing your technique or keeping up with your conditioning, you understand that creating a healthier lifestyle takes work. "
1,16,Complete,No Recent Report,high/low,,,,learning,,,A big part of reducing your risk for diabetes is discovering healthy new habits – like the skills you learn in the DPP or taking metformin. Your drive to learn new things can be a big asset! Remember to be on the lookout for new things you can learn to help you reduce your risk for diabetes.
1,16,Complete,No Recent Report,high/low,,,,cooking,,,It's tough to nail a new recipe the first time you try it. Participating in the DPP or taking metformin can be the same way: tough to get right on your first try. You know that it takes practice to get things right in the kitchen - don't forget to have the same patience when it comes to improving your health.
1,16,Complete,No Recent Report,high/low,,,,flexible,,,"When dealing with a health issue, it's valuable to be able to adapt to new routines. Participating in the DPP or taking metformin may require difficult changes – consider how your flexibility can help you overcome any challenges you face."
1,16,Complete,No Recent Report,high/high,parent,,,,,,"Children learn a lot from watching their parents. By taking steps to prevent diabetes, you can model healthy habits for your kids. Taking action to prevent diabetes is important to you, and you're confident you can do it. Think about how this mindset could help you be a good example for your kids by taking actions to prevent diabetes."
1,16,Complete,No Recent Report,high/high,spouse,,,,,,It's tough to be fully present in the moment if you’re worried about your health. You've said that taking steps to reduce your risk for diabetes is important to you and that you're confident you can do it. Consider how you can use that mindset to take action so you can be present for who matters most to you.
1,16,Complete,No Recent Report,high/high,religious,,,,,,le3_7
1,16,Complete,No Recent Report,high/high,spiritual,,,,,,le3_10
1,16,Complete,No Recent Report,high/high,responsible,,,,,,You've told us that taking steps to prevent diabetes is important to you and something you're confident you can do. Dealing with a chronic illness like diabetes can also make it hard keep up with your responsibilities. Think about how the confidence and importance you feel can keep you working to prevent diabetes and meet your responsibilities.
1,16,Complete,No Recent Report,high/high,strong,,,,,,"Many people find that by taking steps to prevent diabetes - which is important to you, and something you're confident you can do - they end up feeling stronger, more powerful, and more energetic. Consider how you can turn this positive mindset into actions to reduce your risk for diabetes, helping you stay healthy and strong."
1,16,Complete,No Recent Report,high/high,success,,,,,,Creating healthy new habits like participating in the DPP or taking metformin can be challenging. But you’re a person who loves a challenge and doesn't quit. Preventing diabetes is important to you and you're confident you can do it. Ask yourself how you can use that mindset to do what is needed to overcome your challenges and lower your risk for diabetes.
1,16,Complete,No Recent Report,high/high,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you! And participating in the DPP or taking metformin can help you stay healthy to keep supporting others. This is important to you and you're confident you can do it. Contemplate how this mindset, and your desire to be able to help others, can help you take steps to lower your risk for diabetes."
1,16,Complete,No Recent Report,high/high,discipline,,,,,,"Developing habits like participating in the DPP or taking metformin isn't easy. But you’ve got the grit to do what needs doing, which can help you see these kinds of actions through. You've told us this is important to you, and that you're confident you can do it. Consider how you can turn that mindset into actions to do what’s required, and lower your risk for diabetes."
1,16,Complete,No Recent Report,high/high,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road. Preventing diabetes is important to you, and you're confident you can do it. Think about how applying that positive mindset could help you prevent diabetes and stay young and full of energy!"
1,16,Complete,No Recent Report,high/high,respect,,,,,,"You can be a role model for others at work by managing your health through actions like participating in the DPP or taking metformin. Preventing diabetes is important to you, and you feel confident you can do it. Consider how you can use that mindset to reduce your risk for diabetes and demonstrate how you put in the hard work to deal with your challenges. "
1,16,Complete,No Recent Report,high/high,independent,,,,,,"Many find that dealing with a chronic illness means they depend on others for help more often. An independent person like you wants to avoid that, and participating in the DPP or taking metformin can help lower your risk for diabetes. These actions are important to you, and you feel confident you can take them. Reflect on how this mindset can help you avoid diabetes, and having to rely more on others."
1,16,Incomplete,No Activity,low/low,parent,,,,,,"Children learn a lot from watching their parents. By taking care of your health now, you can model a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Incomplete,No Activity,low/low,spouse,,,,,,It's tough to be fully present in the moment if you’re worried about your health. Taking steps to reduce your risk for diabetes might just give you one less thing to worry about - leaving you more time and energy to focus on being present for who matters most to you.
1,16,Incomplete,No Activity,low/low,religious,,,,,,g2a_7
1,16,Incomplete,No Activity,low/low,spiritual,,,,,,g2a_10
1,16,Incomplete,No Activity,low/low,responsible,,,,,,"Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. By taking steps to prevent diabetes, you're putting yourself in the best position to be able to fulfill your commitments."
1,16,Incomplete,No Activity,low/low,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking steps to prevent diabetes they end up feeling stronger, more powerful, and more energetic."
1,16,Incomplete,No Activity,low/low,success,,,,,,"Making changes to create healthier habits can seem like a big challenge, but you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you will do what’s needed to beat this situation, just like you always do."
1,16,Incomplete,No Activity,low/low,support,,,,,,"Mr. Rogers always said to ""Look for the helpers"" - that's you. But it's harder to help others if you aren't at your best. Preventing diabetes can help you stay healthy enough to keep supporting others!"
1,16,Incomplete,No Activity,low/low,discipline,,,,,,"Making changes isn't easy - no two ways about it. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to take action to help prevent diabetes."
1,16,Incomplete,No Activity,low/low,youth,,,,,,"Tired, old, and sick - that's not you! Taking steps to manage your prediabetes now can help you avoid bigger problems down the road - which can help you stay young and full of energy!"
1,16,Incomplete,No Activity,low/low,respect,,,,,,You can be a role model for others at work by managing your own health. Demonstrating how you put in the hard work to deal with your challenges and maintain your health will help you continue to earn your colleagues’ respect.
1,16,Incomplete,No Activity,low/low,independent,,,,,,"When dealing with a chronic illness, many people have to depend more heavily on others for help –something an independent person like you wants to avoid. Taking steps to prevent diabetes and maintain good health can help prevent you from having to rely more on others."
1,16,Incomplete,No Activity,low/high,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Incomplete,No Activity,low/high,spouse,,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
1,16,Incomplete,No Activity,low/high,religious,,,,,,he1_7
1,16,Incomplete,No Activity,low/high,spiritual,,,,,,he1_10
1,16,Incomplete,No Activity,low/high,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
1,16,Incomplete,No Activity,low/high,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
1,16,Incomplete,No Activity,low/high,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
1,16,Incomplete,No Activity,low/high,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
1,16,Incomplete,No Activity,low/high,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
1,16,Incomplete,No Activity,low/high,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
1,16,Incomplete,No Activity,low/high,respect,,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
1,16,Incomplete,No Activity,low/high,independent,,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
1,16,Incomplete,No Activity,no recent data,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Incomplete,No Activity,no recent data,spouse,,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
1,16,Incomplete,No Activity,no recent data,religious,,,,,,he1_7
1,16,Incomplete,No Activity,no recent data,spiritual,,,,,,he1_10
1,16,Incomplete,No Activity,no recent data,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
1,16,Incomplete,No Activity,no recent data,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
1,16,Incomplete,No Activity,no recent data,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
1,16,Incomplete,No Activity,no recent data,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
1,16,Incomplete,No Activity,no recent data,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
1,16,Incomplete,No Activity,no recent data,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
1,16,Incomplete,No Activity,no recent data,respect,,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
1,16,Incomplete,No Activity,no recent data,independent,,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
1,16,Incomplete,No Activity,high/low,,,,creative,,,A common obstacle to adopting new behaviors is getting stuck in a rut. Your creative streak can help you find ways to keep things interesting. Think about some ways you can put your creative side to work in your efforts to reduce your risk for diabetes.
1,16,Incomplete,No Activity,high/low,,,,patient,,,"Managing prediabetes takes patience and commitment, but you're a person who knows how to play the long game. You are willing to put in a little more effort now to ensure a better future, and that will be a big help as you work to create new habits. "
1,16,Incomplete,No Activity,high/low,,,,forgiving,,,"Sometimes people who are really forgiving of others have a hard time forgiving themselves. Think about the advice you would give to a friend who's having a hard time with a program, and remember it's ok to cut yourself some slack."
1,16,Incomplete,No Activity,high/low,,,,thankful,,,Right now you have the ability to make changes before your prediabetes becomes something worse. You can show your gratitude for what you have by buckling down and taking action to lower your risk. 
1,16,Incomplete,No Activity,high/low,,,,humor,,,"Being at higher risk of diabetes is serious business - but seeing the funny side of your efforts will make it easier to adopt the healthy habits you're working hard to build. If you slip up, it's ok to laugh about it– you can take prediabetes seriously without losing your sense of humor."
1,16,Incomplete,No Activity,high/low,,,,positive,,,"Some people fixate on slip-ups when they're trying to create healthier habits, but you know it's more important to give yourself credit for all the times you've succeeded.  Finding out what works for you is a process, and focusing on the small wins can help you see your progress."
1,16,Incomplete,No Activity,high/low,,,,illness,,,You've confronted an illness before. Think back on what it took to beat the illness. A lot of the same thoughts and strategies that helped you in the past could also help you lower your risk for diabetes. 
1,16,Incomplete,No Activity,high/low,,,,research,,,"You're someone who does their homework and stays informed - which can be an advantage when it comes to lowering your risk for diabetes. A big part of staying healthy is knowing what steps to take. Think about the research you’ve done, and what it says about the steps you should take."
1,16,Incomplete,No Activity,high/low,,,,sports,,,"You can leverage a lot of what you get from playing sports to help with your efforts to lower your risk for diabetes. Just like practicing your technique or keeping up with your conditioning, you understand that creating a healthier lifestyle takes work. "
1,16,Incomplete,No Activity,high/low,,,,learning,,,"A big part of reducing your risk for diabetes is discovering new, healthier habits – and the first step is understanding the actions that can help you do that. Your drive to learn new things can be a big asset! Remember to be on the lookout for new things you can learn to help you reduce your risk for diabetes."
1,16,Incomplete,No Activity,high/low,,,,cooking,,,It's tough to nail a new recipe the first time you try it. Reducing your risk for diabetes can be the same way: tough to get right on your first try. You know that it takes practice to get things right in the kitchen - don't forget to have the same patience when it comes to improving your health.
1,16,Incomplete,No Activity,high/low,,,,flexible,,,"When dealing with a health issue, it's valuable to be able to adapt to new routines. Reducing your risk for diabetes requires making changes – consider how your flexibility can help you overcome any challenges you face."
1,16,Incomplete,No Activity,high/high,parent,,,,,,"Children learn a lot from watching their parents. By taking care of yourself, you can model a responsible attitude for your kids. You've told us that taking care of your health now is important to you, and you're confident that you can do it. Think about how this mindset could help you be a good example for your kids by taking actions to prevent diabetes."
1,16,Incomplete,No Activity,high/high,spouse,,,,,,It's tough to be fully present in the moment if you’re worried about your health. You've said that taking steps to reduce your risk for diabetes is important to you and something you're confident you can do. Consider how you can use that mindset to take action so you can be present for who matters most to you.
1,16,Incomplete,No Activity,high/high,religious,,,,,,g2c_7
1,16,Incomplete,No Activity,high/high,spiritual,,,,,,g2c_10
1,16,Incomplete,No Activity,high/high,responsible,,,,,,You've told us that taking steps to prevent diabetes is important to you and something you're confident you can do. Dealing with a chronic illness like diabetes can make it hard keep up with your responsibilities. Think about how reducing your risk for diabetes will put you in the best position to meet your responsibilities.
1,16,Incomplete,No Activity,high/high,strong,,,,,,"Many people find that by taking steps to prevent diabetes - which you say is important to you, and something you're confident you can do - they end up feeling stronger, more powerful, and more energetic. Consider how you can turn this positive mindset into actions to reduce your risk for diabetes, helping you stay healthy and strong."
1,16,Incomplete,No Activity,high/high,success,,,,,,"Creating healthier habits can be challenging. But you love a challenge, you don’t quit, and you feel preventing diabetes is both important and something you're confident you can do. Ask yourself how you can use that mindset to do what is needed to reduce your risk for diabetes."
1,16,Incomplete,No Activity,high/high,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you! Working to prevent diabetes can help you stay healthy enough to keep supporting others - and you've told us that working to prevent diabetes is important to you and something you can do. Contemplate how  this mindset, along with your desire to be able to help others, could help you take actions to prevent diabetes."
1,16,Incomplete,No Activity,high/high,discipline,,,,,,"Making changes isn't easy, but you're a person who is in control of your actions. You know how to do what needs doing, which can help you make the changes needed to prevent diabetes. You've told us this is important to you, and you're confident you can do it. Consider how you can turn that mindset into actions to create a healthier lifestyle."
1,16,Incomplete,No Activity,high/high,youth,,,,,,"Tired, old, and sick - that's not you! Taking steps to manage your prediabetes now can help you avoid bigger problems down the road - which you're confident you can do, and we know is important to you. Think about how applying that positive mindset could help you prevent diabetes and stay young and full of energy!"
1,16,Incomplete,No Activity,high/high,respect,,,,,,"You can be a role model for others at work by managing your own health. Preventing diabetes is something you've told us is important to you, and that you feel confident you can do. Consider how you can use that mindset to reduce your risk for diabetes and demonstrate how you put in the hard work to deal with your challenges."
1,16,Incomplete,No Activity,high/high,independent,,,,,,"When dealing with a chronic illness, many people have to depend more heavily on others for help –something an independent person like you wants to avoid. Taking steps to prevent diabetes can help prevent you from having to rely more on others, and that's important to you and something you think you can do. Reflect on how you can use this positive mindset to take actions to prevent diabetes."
2,20,Complete,High,low/low,,parent,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
2,20,Complete,High,low/low,,spouse,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
2,20,Complete,High,low/low,,religious,,,,,he1_7
2,20,Complete,High,low/low,,spiritual,,,,,he1_10
2,20,Complete,High,low/low,,responsible,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
2,20,Complete,High,low/low,,strong,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
2,20,Complete,High,low/low,,success,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
2,20,Complete,High,low/low,,support,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
2,20,Complete,High,low/low,,discipline,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
2,20,Complete,High,low/low,,youth,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
2,20,Complete,High,low/low,,respect,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
2,20,Complete,High,low/low,,independent,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
2,20,Complete,High,low/high,,parent,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
2,20,Complete,High,low/high,,spouse,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
2,20,Complete,High,low/high,,religious,,,,,he1_7
2,20,Complete,High,low/high,,spiritual,,,,,he1_10
2,20,Complete,High,low/high,,responsible,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
2,20,Complete,High,low/high,,strong,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
2,20,Complete,High,low/high,,success,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
2,20,Complete,High,low/high,,support,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
2,20,Complete,High,low/high,,discipline,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
2,20,Complete,High,low/high,,youth,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
2,20,Complete,High,low/high,,respect,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
2,20,Complete,High,low/high,,independent,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
2,20,Complete,High,high/low,,,,,creative,,A common obstacle to sticking with new habits like participating in the DPP or taking metformin is getting stuck in a rut. Your creative streak can help you find ways to keep things interesting. Think about some ways you can put your creative side to work in your efforts to reduce your risk for diabetes.
2,20,Complete,High,high/low,,,,,patient,,"It takes patience and commitment to keep participating in the DPP or taking metformin, but you're a person who knows how to play the long game! You are willing to put in a little more effort now to ensure a better future This will be a big help as you continue taking steps to lower your risk for diabetes. "
2,20,Complete,High,high/low,,,,,forgiving,,"Sometimes people who are really forgiving of others have a hard time forgiving themselves. Think about the advice you would give to a friend who's struggling to stick with new habits like participating in the DPP or taking metformin, and remember it's ok to cut yourself some slack. "
2,20,Complete,High,high/low,,,,,thankful,,"People like you know they can make the most of what they have, and participating in the DPP or taking metformin has given you a chance to address your prediabetes before it becomes something worse! You can continue to show your gratitude for what you have by staying committed to lowering your risk."
2,20,Complete,High,high/low,,,,,humor,,"Being at higher risk of diabetes is serious business - but seeing the funny side of your efforts will make it easier to keep working on habits like participating in the DPP or taking metformin. If you do slip up, it's OK to laugh about it – you can take preventing diabetes seriously without losing your sense of humor!"
